,id,year,country,co2_value,lat,long
0,76,1961,Brazil,0.6521097,-14.235004,-51.925282
1,76,1962,Brazil,0.69054925,-14.235004,-51.925282
2,76,1963,Brazil,0.69425035,-14.235004,-51.925282
3,76,1964,Brazil,0.68762654,-14.235004,-51.925282
4,76,1965,Brazil,0.66416365,-14.235004,-51.925282
5,76,1966,Brazil,0.7365585,-14.235004,-51.925282
6,76,1967,Brazil,0.73790985,-14.235004,-51.925282
7,76,1968,Brazil,0.8408127000000001,-14.235004,-51.925282
8,76,1969,Brazil,0.8925485999999999,-14.235004,-51.925282
9,76,1970,Brazil,0.96759653,-14.235004,-51.925282
10,76,1971,Brazil,1.0334964,-14.235004,-51.925282
11,76,1972,Brazil,1.1237195,-14.235004,-51.925282
12,76,1973,Brazil,1.2704351,-14.235004,-51.925282
13,76,1974,Brazil,1.3433151,-14.235004,-51.925282
14,76,1975,Brazil,1.3788201999999998,-14.235004,-51.925282
15,76,1976,Brazil,1.3846636,-14.235004,-51.925282
16,76,1977,Brazil,1.420028,-14.235004,-51.925282
17,76,1978,Brazil,1.5126663,-14.235004,-51.925282
18,76,1979,Brazil,1.5664809,-14.235004,-51.925282
19,76,1980,Brazil,1.51667,-14.235004,-51.925282
20,76,1981,Brazil,1.3630791000000002,-14.235004,-51.925282
21,76,1982,Brazil,1.3337866000000003,-14.235004,-51.925282
22,76,1983,Brazil,1.2624229,-14.235004,-51.925282
23,76,1984,Brazil,1.2478746,-14.235004,-51.925282
24,76,1985,Brazil,1.3129473,-14.235004,-51.925282
25,76,1986,Brazil,1.4079673000000001,-14.235004,-51.925282
26,76,1987,Brazil,1.4412715,-14.235004,-51.925282
27,76,1988,Brazil,1.4255718000000002,-14.235004,-51.925282
28,76,1989,Brazil,1.4286486,-14.235004,-51.925282
29,76,1990,Brazil,1.4508868000000001,-14.235004,-51.925282
30,76,1991,Brazil,1.4960175,-14.235004,-51.925282
31,76,1992,Brazil,1.4983952,-14.235004,-51.925282
32,76,1993,Brazil,1.5419381,-14.235004,-51.925282
33,76,1994,Brazil,1.5778434,-14.235004,-51.925282
34,76,1995,Brazil,1.6431366000000003,-14.235004,-51.925282
35,76,1996,Brazil,1.7424476999999998,-14.235004,-51.925282
36,76,1997,Brazil,1.8211509999999997,-14.235004,-51.925282
37,76,1998,Brazil,1.8554686000000002,-14.235004,-51.925282
38,76,1999,Brazil,1.8863509999999999,-14.235004,-51.925282
39,76,2000,Brazil,1.934246,-14.235004,-51.925282
40,76,2001,Brazil,1.9424404999999998,-14.235004,-51.925282
41,76,2002,Brazil,1.926925,-14.235004,-51.925282
42,76,2003,Brazil,1.887129,-14.235004,-51.925282
43,76,2004,Brazil,1.9566369,-14.235004,-51.925282
44,76,2005,Brazil,1.950622,-14.235004,-51.925282
45,76,2006,Brazil,1.9535519000000001,-14.235004,-51.925282
46,76,2007,Brazil,2.0472486,-14.235004,-51.925282
47,76,2008,Brazil,2.1416569,-14.235004,-51.925282
48,76,2009,Brazil,2.0038037,-14.235004,-51.925282
49,76,2010,Brazil,2.2422264,-14.235004,-51.925282
50,76,2011,Brazil,2.3340783,-14.235004,-51.925282
51,76,2012,Brazil,2.4918227,-14.235004,-51.925282
52,76,2013,Brazil,2.639368,-14.235004,-51.925282
53,76,2014,Brazil,2.7420718999999996,-14.235004,-51.925282
54,76,2015,Brazil,2.5798414000000003,-14.235004,-51.925282
55,76,2016,Brazil,2.382041,-14.235004,-51.925282
56,76,2017,Brazil,2.3856156000000004,-14.235004,-51.925282
57,76,2018,Brazil,2.2701142000000005,-14.235004,-51.925282
58,76,2019,Brazil,2.243357,-14.235004,-51.925282
59,76,2020,Brazil,2.074642,-14.235004,-51.925282
60,76,2021,Brazil,2.281014,-14.235004,-51.925282
61,159,1961,China,0.8708450000000001,35.86166,104.195396
62,159,1962,China,0.69155574,35.86166,104.195396
63,159,1963,China,0.6679004,35.86166,104.195396
64,159,1964,China,0.65376264,35.86166,104.195396
65,159,1965,China,0.69114995,35.86166,104.195396
66,159,1966,China,0.73956573,35.86166,104.195396
67,159,1967,China,0.60475963,35.86166,104.195396
68,159,1968,China,0.634962,35.86166,104.195396
69,159,1969,China,0.75824785,35.86166,104.195396
70,159,1970,China,0.9822721,35.86166,104.195396
71,159,1971,China,1.0781755,35.86166,104.195396
72,159,1972,China,1.1226243,35.86166,104.195396
73,159,1973,China,1.14364,35.86166,104.195396
74,159,1974,China,1.1431363,35.86166,104.195396
75,159,1975,China,1.2929548999999998,35.86166,104.195396
76,159,1976,China,1.319618,35.86166,104.195396
77,159,1977,China,1.4225098,35.86166,104.195396
78,159,1978,China,1.5628908000000001,35.86166,104.195396
79,159,1979,China,1.5756097,35.86166,104.195396
80,159,1980,China,1.5213128,35.86166,104.195396
81,159,1981,China,1.4805452,35.86166,104.195396
82,159,1982,China,1.5852113,35.86166,104.195396
